object,encode_method,quantization_level_index,object_rate,encoding_time,decoding_time,bit_rate,compressed_bit_rate
dancer,Draco,0,10,9.290299999999998,2.1934,3331.151,182.471
dancer,Draco,0,15,13.916799999999999,3.2833,4996.778,273.511
dancer,Draco,0,30,27.8529,6.578600000000001,9993.867,547.29
dancer,Draco,1,10,10.493799999999998,2.5163,3331.151,245.245
dancer,Draco,1,15,15.7409,3.7689,4996.778,367.644
dancer,Draco,1,30,31.5018,7.5475,9993.867,735.539
dancer,Draco,2,10,11.5163,2.7659000000000002,3331.151,321.263
dancer,Draco,2,15,17.2709,4.139399999999999,4996.778,481.527
dancer,Draco,2,30,34.5537,8.279200000000001,9993.867,963.341
dancer,Draco,3,10,12.2309,2.804,3331.151,405.436
dancer,Draco,3,15,18.3568,4.2002,4996.778,607.569
dancer,Draco,3,30,36.7014,8.408100000000001,9993.867,1215.621
dancer,Draco,4,10,15.655700000000001,2.7136,3331.151,807.555
dancer,Draco,4,15,23.4787,4.077,4996.778,1209.734
dancer,Draco,4,30,46.9654,8.148,9993.867,2420.799
dancer,V-PCC,0,10,1023.3122,33.599599999999995,3331.151,0.97
dancer,V-PCC,0,15,1535.568423,50.410368999999996,4997.095,1.453
dancer,V-PCC,0,30,3068.6541469999997,100.70267600000001,9994.183,2.911
dancer,V-PCC,1,10,1051.1777,37.1058,3331.151,1.676
dancer,V-PCC,1,15,1576.684027,55.645067000000004,4997.095,2.514
dancer,V-PCC,1,30,3151.5682269999998,111.331304,9994.183,5.033
dancer,V-PCC,2,10,1092.5001000000002,40.5807,3331.151,2.024
dancer,V-PCC,2,15,1638.727953,60.888121,4997.095,3.035
dancer,V-PCC,2,30,3275.63388,121.728662,9994.183,6.076
dancer,V-PCC,3,10,1150.3355,43.516,3331.151,4.403
dancer,V-PCC,3,15,1725.7597649999998,65.264799,4997.095,6.605
dancer,V-PCC,3,30,3449.404114,130.494281,9994.183,13.219
dancer,V-PCC,4,10,1243.3041,44.374,3331.151,13.469
dancer,V-PCC,4,15,1864.697517,66.510705,4997.095,20.197
dancer,V-PCC,4,30,3727.248662,133.09495,9994.183,40.43
thaidancer,Draco,0,10,11.4209,2.7499000000000002,3941.742,286.915
thaidancer,Draco,0,15,17.1337,4.1213999999999995,5912.197,430.647
thaidancer,Draco,0,30,34.2535,8.233799999999999,11822.571,860.277
thaidancer,Draco,1,10,12.7026,2.9888000000000003,3941.742,358.909
thaidancer,Draco,1,15,19.0422,4.4914,5912.197,538.603
thaidancer,Draco,1,30,38.081199999999995,8.9485,11822.571,1076.053
thaidancer,Draco,2,10,13.8979,3.205,3941.742,442.003
thaidancer,Draco,2,15,20.8439,4.8085,5912.197,663.315
thaidancer,Draco,2,30,41.6699,9.6139,11822.571,1325.233
thaidancer,Draco,3,10,14.8582,3.2923,3941.742,534.643
thaidancer,Draco,3,15,22.284,4.9375,5912.197,802.233
thaidancer,Draco,3,30,44.5634,9.8685,11822.571,1602.851
thaidancer,Draco,4,10,19.018,3.2465,3941.742,1002.921
thaidancer,Draco,4,15,28.5394,4.8665,5912.197,1504.548
thaidancer,Draco,4,30,57.0615,9.7313,11822.571,3006.424
thaidancer,V-PCC,0,10,1360.8657,50.829699999999995,3941.742,1.556
thaidancer,V-PCC,0,15,2029.2241000000001,76.039,5912.197,2.332
thaidancer,V-PCC,0,30,4064.363679,152.208261,11822.767,4.662
thaidancer,V-PCC,1,10,1365.078,52.678,3941.742,3.509
thaidancer,V-PCC,1,15,2035.8471000000002,78.761,5912.197,5.262
thaidancer,V-PCC,1,30,4076.653545,157.692341,11822.767,10.521
thaidancer,V-PCC,2,10,1373.8873999999998,52.883300000000006,3941.742,4.385
thaidancer,V-PCC,2,15,2047.2411000000002,79.2024,5912.197,6.575
thaidancer,V-PCC,2,30,4100.529933,158.427592,11822.767,13.147
thaidancer,V-PCC,3,10,1419.6624,55.992599999999996,3941.742,10.593
thaidancer,V-PCC,3,15,2117.6513,83.76910000000001,5912.197,15.899
thaidancer,V-PCC,3,30,4239.622274,167.624047,11822.767,31.777
thaidancer,V-PCC,4,10,1556.7595,56.9195,3941.742,28.569
thaidancer,V-PCC,4,15,2321.8468,85.11160000000001,5912.197,42.936
thaidancer,V-PCC,4,30,4650.214816,170.409431,11822.767,85.763
